Company,Category,State,Website,Main Contact Page,Main Phone,Decision Maker / Best Contact,Title,Public Direct Email,LinkedIn Search,Notes / Why Fit
STI Group,Fabrication / Industrial,TX,https://setxind.com/,https://setxind.com/,Unknown,JD Loden,Quality Manager,Not publicly confirmed,https://www.linkedin.com/search/results/all/?keywords=STI%20Group%20JD%20Loden,Texas-based industrial contractor with pipe/steel/boiler fabrication; likely fit for QC/NDT protocol consulting
Tech Fab,Fabrication / Welding,TX,https://www.tech-fab.com/,https://www.tech-fab.com/contact,281-862-9001,Jason Woodall,Quality Manager,Not publicly confirmed,https://www.linkedin.com/search/results/all/?keywords=Tech%20Fab%20Jason%20Woodall,Houston fabrication/welding company serving oil and gas and marine markets
Monroe Manufacturing,Precision Fabrication,TX,https://www.monroe-mfg.com/,https://www.monroe-mfg.com/,Unknown,General contact,Operations / Quality leadership,Not publicly confirmed,https://www.linkedin.com/search/results/all/?keywords=Monroe%20Manufacturing%20Texas%20quality,Texas CNC machining and welding company serving industrial and oil & gas work
Southern Fabrication,Fabrication / Tanks / Trailers,LA,https://southern-fabrication.com/,https://southern-fabrication.com/,985-876-0624,Travis Breaux,Main Location Contact,Not publicly confirmed,https://www.linkedin.com/search/results/all/?keywords=Southern%20Fabrication%20Travis%20Breaux,Louisiana fabrication company serving industrial storage/trailer applications
Dynamic Industries,Offshore / Industrial Fabrication,LA,https://www.dynamicind.com/,https://www.dynamicind.com/contact,Unknown,General contact,Operations / Quality leadership,Not publicly confirmed,https://www.linkedin.com/search/results/all/?keywords=Dynamic%20Industries%20Louisiana%20quality,Large Louisiana offshore and industrial fabrication company
Texas Fabco Solutions,Oil & Gas Equipment,TX,https://www.texasfabco.com/,https://www.texasfabco.com/contact/,830-825-3600,General contact,Operations / Engineering leadership,Not publicly confirmed,https://www.linkedin.com/search/results/all/?keywords=Texas%20Fabco%20Solutions%20operations,Builds production and process equipment for oil and gas industry
LoneStar Energy Fabrication,Energy Fabrication,TX,https://www.lonestarenergyfabrication.com/,https://www.lonestarenergyfabrication.com/contact,Unknown,General contact,Operations / Quality leadership,Not publicly confirmed,https://www.linkedin.com/search/results/all/?keywords=LoneStar%20Energy%20Fabrication%20quality,Energy fabrication company with module/component and offshore experience
Spitzer Industries,Steel / Process Fabrication,TX,https://spitzerind.com/,https://spitzerind.com/contact/,Unknown,Brad Alleman,HFD Quality Manager,Not publicly confirmed,https://www.linkedin.com/search/results/all/?keywords=Spitzer%20Industries%20Brad%20Alleman,Houston-based process skid and steel fabrication company for energy industry
GRACE Aerospace,Aerospace Manufacturing,AL,https://www.graceaero.com/,https://www.graceaero.com/,Unknown,General contact,Quality / Program leadership,Not publicly confirmed,https://www.linkedin.com/search/results/all/?keywords=GRACE%20Aerospace%20quality,AS9100-oriented aerospace manufacturing and integration fit
Advantage Aviation Technologies,Aviation / NDT / Repair,GA,https://www.aatinc.net/,https://www.aatinc.net/,Unknown,General contact,Repair Station / Quality leadership,Not publicly confirmed,https://www.linkedin.com/search/results/all/?keywords=Advantage%20Aviation%20Technologies%20quality,Aviation repair/manufacturing company with NDT, welding, machining and composites relevance
